id,x,y,z,yaw,pitch,roll
88,-297.697,237.309,-12.8108,2.45386,-0.0010287,0.0449899
89,-297.854,237.436,-12.816,2.45523,-0.00163396,0.0455933
90,-297.983,237.559,-12.8088,2.45488,-0.00139861,0.0452153
91,-298.138,237.685,-12.8177,2.45469,-0.00202949,0.0442561
92,-298.276,237.817,-12.8135,2.45538,-0.00187008,0.0438037
93,-298.412,237.937,-12.8151,2.45601,-0.00269504,0.0427476
94,-298.568,238.062,-12.8141,2.45586,-0.00293759,0.0420265
95,-298.705,238.189,-12.8175,2.45517,-0.00359546,0.0410732
96,-298.856,238.32,-12.8155,2.45581,-0.00579684,0.0396228
97,-299.001,238.454,-12.8118,2.45604,-0.00757118,0.0385565
98,-299.161,238.582,-12.8181,2.45661,-0.00909297,0.0381724
99,-299.307,238.706,-12.8278,2.45772,-0.00942648,0.037052
100,-299.455,238.834,-12.8385,2.45785,-0.00755193,0.0358733
101,-299.603,238.965,-12.8432,2.4584,-0.00687866,0.035364
102,-299.75,239.091,-12.848,2.45898,-0.00585901,0.0377824
103,-299.906,239.214,-12.8401,2.45906,-0.0050783,0.0395632
104,-300.057,239.346,-12.8377,2.45982,-0.00542325,0.0386046
105,-300.197,239.476,-12.8423,2.46008,-0.00604622,0.0362169
106,-300.356,239.611,-12.8465,2.46061,-0.00510951,0.0338281
107,-300.5,239.736,-12.8488,2.4613,-0.00441109,0.0329331
108,-300.656,239.867,-12.8532,2.46182,-0.00380187,0.0322113
109,-300.813,239.996,-12.8532,2.46302,-0.00411424,0.0307572
110,-300.968,240.125,-12.8623,2.46334,-0.00414317,0.0299507
111,-301.12,240.254,-12.8547,2.46345,-0.00482648,0.029466
112,-301.272,240.39,-12.8555,2.46329,-0.00424509,0.0283031
113,-301.436,240.522,-12.8506,2.46346,-0.00298836,0.0261668
114,-301.605,240.659,-12.8466,2.46613,-0.00258574,0.0226642
115,-301.752,240.787,-12.838,2.46878,-0.0057229,0.0215249
116,-301.915,240.92,-12.8282,2.47055,-0.00658818,0.0190291
117,-302.087,241.047,-12.8417,2.47324,-0.00673238,0.017733
118,-302.249,241.179,-12.8434,2.47518,-0.00637872,0.0184518
119,-302.407,241.302,-12.8419,2.47808,-0.00588007,0.0174256
120,-302.581,241.423,-12.8537,2.48053,-0.00567163,0.017589
121,-302.744,241.558,-12.858,2.48218,-0.0054565,0.017692
122,-302.915,241.685,-12.8563,2.48439,-0.00563952,0.0174381
123,-303.083,241.816,-12.8585,2.48697,-0.00548919,0.016658
124,-303.258,241.946,-12.859,2.49025,-0.00517246,0.0156267
125,-303.423,242.063,-12.8584,2.49338,-0.0051506,0.014832
126,-303.602,242.186,-12.8614,2.4963,-0.00547712,0.0140658
127,-303.771,242.307,-12.8657,2.49958,-0.00546958,0.0135098
128,-303.947,242.433,-12.8647,2.50384,-0.00501451,0.0125865
129,-304.128,242.56,-12.8694,2.5093,-0.00492068,0.0118527
130,-304.297,242.68,-12.8718,2.51404,-0.00475298,0.0117604
131,-304.472,242.793,-12.8735,2.5188,-0.0050643,0.0125793
132,-304.661,242.91,-12.8711,2.52484,-0.00731298,0.0149644
133,-304.839,243.013,-12.8638,2.53251,-0.00925347,0.0169442
134,-305.035,243.12,-12.8533,2.54212,-0.0110146,0.0157124
135,-305.215,243.209,-12.8433,2.55219,-0.0118653,0.0108126
136,-305.415,243.316,-12.8547,2.56349,-0.0128797,0.0080359
137,-305.603,243.413,-12.8693,2.57479,-0.0122714,0.00659729
138,-305.798,243.497,-12.8672,2.58661,-0.0122897,0.0067229
139,-305.998,243.577,-12.8652,2.59838,-0.01214,0.00648934
140,-306.195,243.659,-12.8707,2.61096,-0.0120559,0.00673081
141,-306.394,243.731,-12.8678,2.62391,-0.0130296,0.00644365
142,-306.606,243.797,-12.8615,2.63665,-0.0135396,0.00602956
143,-306.795,243.878,-12.864,2.65042,-0.0134086,0.00392327
144,-307.002,243.938,-12.8681,2.66653,-0.0142816,0.0015059
145,-307.207,243.991,-12.8653,2.68107,-0.0143817,0.00322964
146,-307.413,244.048,-12.8696,2.6958,-0.0133774,0.00450956
147,-307.623,244.098,-12.8664,2.71199,-0.0129013,0.00566811
148,-307.844,244.145,-12.8659,2.72909,-0.0130161,0.0070843
149,-308.061,244.182,-12.8593,2.74706,-0.012192,0.00711221
150,-308.285,244.221,-12.8572,2.76631,-0.01111,0.00554257
151,-308.503,244.252,-12.8701,2.78727,-0.0108899,0.00469608
152,-308.727,244.257,-12.8652,2.80839,-0.0106134,0.00293139
153,-308.96,244.276,-12.8711,2.82959,-0.010949,0.00264399
154,-309.192,244.288,-12.8746,2.85232,-0.0105209,0.00309301
155,-309.423,244.278,-12.8764,2.87579,-0.00971632,0.0037657
156,-309.657,244.273,-12.8762,2.89932,-0.0083731,0.00274871
157,-309.889,244.254,-12.8685,2.92283,-0.00707632,0.000895871
158,-310.117,244.229,-12.8737,2.94743,-0.00658117,-0.000808318
159,-310.346,244.201,-12.8815,2.97206,-0.00607948,-0.00142242
160,-310.585,244.166,-12.8772,2.99725,-0.00583445,-0.00121175
161,-310.816,244.12,-12.8824,3.02258,-0.00543204,-0.000426338
162,-311.047,244.069,-12.8867,3.04748,-0.00527279,0.00089552
163,-311.277,244.013,-12.8883,3.07282,-0.0050278,0.002169
164,-311.514,243.951,-12.89,3.0987,-0.00530681,0.00317336
165,-311.747,243.88,-12.8917,3.12509,-0.00583423,0.0036134
166,-311.978,243.806,-12.8986,-3.13142,-0.00492079,0.00385267
167,-312.226,243.711,-12.9003,-3.10462,-0.00358965,0.00412019
168,-312.441,243.622,-12.9038,-3.0777,-0.00227552,0.00435019
169,-312.674,243.529,-12.9114,-3.05033,-0.003093,0.00488642
170,-312.914,243.427,-12.9134,-3.02234,-0.00348057,0.0056709
171,-313.146,243.307,-12.9139,-2.99416,-0.00326512,0.00668566
172,-313.386,243.195,-12.917,-2.96583,-0.00235911,0.00776095
173,-313.613,243.066,-12.9246,-2.93756,-0.000131871,0.0093955
174,-313.849,242.935,-12.92,-2.90908,0.00256932,0.00981954
175,-314.078,242.797,-12.9307,-2.87987,0.00261033,0.0106604
176,-314.313,242.628,-12.931,-2.85081,0.00058667,0.0128001
177,-314.549,242.472,-12.9345,-2.82281,-0.00116472,0.0120882
178,-314.795,242.311,-12.9414,-2.79434,-0.00327488,0.00926171
179,-315.044,242.133,-12.959,-2.76441,-0.00472258,0.00945087
180,-315.288,241.938,-12.9634,-2.73614,-0.0040317,0.0130665
181,-315.537,241.742,-12.961,-2.70777,-0.00294457,0.0157978
182,-315.786,241.542,-12.9675,-2.67992,-0.00191047,0.0164959
183,-316.028,241.328,-12.9646,-2.65375,-0.000224732,0.0163653
184,-316.282,241.115,-12.9598,-2.62686,0.00129014,0.0149612
185,-316.537,240.867,-12.9667,-2.60131,0.00220876,0.0130893
186,-316.771,240.645,-12.9606,-2.5782,0.00362696,0.0100745
187,-317.014,240.417,-12.9701,-2.55707,0.00459328,0.00491395
188,-317.261,240.198,-12.9938,-2.5374,0.00691609,0.00156254
189,-317.492,239.967,-13.0129,-2.51882,0.00678791,0.00341571
190,-317.721,239.731,-13.0127,-2.50141,0.00555352,0.00723831
191,-317.963,239.49,-13.0148,-2.48537,0.00281286,0.0104591
192,-318.201,239.267,-12.9964,-2.46827,1.42553e-05,0.0115115
193,-318.428,239.017,-13,-2.45092,-9.79601e-05,0.013155
194,-318.649,238.777,-13.0001,-2.43442,0.000730352,0.0137919
195,-318.88,238.523,-13.0091,-2.41704,0.000468286,0.0127617
196,-319.099,238.283,-13.0312,-2.4007,-0.000198384,0.0115496
197,-319.325,238.016,-13.0256,-2.38532,-0.00273521,0.0104322
198,-319.552,237.739,-13.0335,-2.37043,-0.00467829,0.0106641
199,-319.775,237.465,-13.0466,-2.35662,-0.00768009,0.0126786
200,-320.022,237.175,-13.0495,-2.34398,-0.0127284,0.0128959
201,-320.266,236.883,-13.0379,-2.33292,-0.0188586,0.0107143
